name,likeability,instrument,Invasive,Favorite Genre,Favorite Artist,Location
Anthistiriinae,1,Electric Guitar,Yes,Jazz,Django Reindhart,Art Building
Elm,5,Acoustic Guitar,No,Folk,Ed Sheren,Creek
Yucca,7,Banjo,No,Bluegrass,Billy Falling,Art Building
Mexican Honeysuckle,2,Mandolin,No,Classical,Bill Monroe,Art Building
Texas Barberry,5,Standing Bass,No,Jazz,Charles Mingus,Creek
Texas Lantana,8,Bass,No,Funk,Victor Wooten,Creek
Caesalpinia,8,Fiddle,No,Western,Sierra Ferral,Art Building
Texas Mountain Laurel,4,Drums,No,Rock,Dave Grohl,Art Building
American Trumpet vine,7,Steel Pedal,Yes,Country,Willie Nelson,Art Building
Velvet Bundleflower,10,Piano,No,Soul,Hampton Hawes,Creek
